Pertanyaan,Jawaban
Kapan sih Prodi Informatika ini mulai berdiri?,"Prodi informatika Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar (selanjutnya disingkat UHN Sugriwa) memperoleh ijin operasional pada tanggal 15 Desember 2022. Mahasiswa angkatan pertama prodi ini sebanyak 49 orang. Prodi ini cukup populer di UHN Sugriwa. Pesatnya perkembangan Teknologi Informasi (TI) menuntut penguasaan terhadap teknologi menjadi demikian penting. Perkembangan TI yang sangat pesat ini membuka banyak peluang kerja pada banyak sektor, baik telekomunikasi, perbankan, industri, perdagangan, pemerintahan, pendidikan serta bidang-bidang lainnya. Tingginya kebutuhan di masyarakat terkait dengan bidang Teknologi Informasi ini menjadi pertimbangan Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar untuk mengajukan pembukaan Program Studi Informatika yang nantinya juga mempelajari berbagai ilmu yang terkait dengan Teknologi Informasi.
Visi Prodi Informatika adalah ""Menjadi prodi yang inovatif, unggul, dan adaptif dalam budaya pada pengembangan teknologi, perangkat lunak, dan sistem cerdas yang berkelanjutan tahun 2045."". 
Misi Prodi Informatikan adalah:
 A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya. 
Tujuan Prodi Informatika adalah 
A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya."
Bagaimana sejarah prodi informatika?,"Prodi informatika Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar (selanjutnya disingkat UHN Sugriwa) memperoleh ijin operasional pada tanggal 15 Desember 2022. Mahasiswa angkatan pertama prodi ini sebanyak 49 orang. Prodi ini cukup populer di UHN Sugriwa. Pesatnya perkembangan Teknologi Informasi (TI) menuntut penguasaan terhadap teknologi menjadi demikian penting. Perkembangan TI yang sangat pesat ini membuka banyak peluang kerja pada banyak sektor, baik telekomunikasi, perbankan, industri, perdagangan, pemerintahan, pendidikan serta bidang-bidang lainnya. Tingginya kebutuhan di masyarakat terkait dengan bidang Teknologi Informasi ini menjadi pertimbangan Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar untuk mengajukan pembukaan Program Studi Informatika yang nantinya juga mempelajari berbagai ilmu yang terkait dengan Teknologi Informasi.
Visi Prodi Informatika adalah ""Menjadi prodi yang inovatif, unggul, dan adaptif dalam budaya pada pengembangan teknologi, perangkat lunak, dan sistem cerdas yang berkelanjutan tahun 2045."". 
Misi Prodi Informatikan adalah:
 A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya. 
Tujuan Prodi Informatika adalah 
A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya."
Dimasa saja tempat kuliah atau kampus?,"Prodi Informatika memiliki dua kampus yaitu di Denpasar dan di Bangli. Masing-masing kampus terdapat ruangan kuliah dan lab komputer. Di setiap kampus tersedia akses internet yang dapat digunakan oleh mahasiswa. Kampus Ratna Denpasar ada di Jalan Ratna Denpasar. Lokasinya strategis berada di pusat kota. Mahasiswa boleh memilih untuk kuliah di Denpasar atau Bangli. Apabila memilih untuk kuliah di Denpasar, maka mahasiswa tidak akan diminta untuk berkuliah di Kampus Bangli, demikian pula sebaliknya. Namun apabila ada kegiatan mahasiswa yang melibatkan seluruh mahassiswa Fakultas Dharma Duta, maka kegiatan tersebut biasanya diadakan di Kampus Bangli. Demikian pula kegiatan mahasiswa yang melibatkan seluruh mahasiswa UHN Sugriwa biasanya diadakan di kampus Bangli.
Kampus Bangli ada di Jalan Nusantara Kubu Bangli. Kampus ini sangat sejuk dengan lingkungan yang tenang dan damai. Lingkungan belajar yang mendukung tersebut akan bermanfaat untuk meningkatkan fokus mahasiswa. UHN Sugriwa telah memiliki kerjasama dengan Dinas Perhubungan untuk transportasi Bus Damri dari Kampus Ratna Denpasar. Sehingga apabila mahasiswa berkuliah di Denpasar namun ingin melakukan perjalanan ke kampus Bangli dapat menggunakan transportasi Bus Damri secara gratis.
Sistem perkuliahan biasanya dilakukan secara blended learning, yaitu 6 pertemuan dilakukan secara online dan 10 pertemuan dilakukan secara offline. Media online biasanya menggunakan Zoom atau Google Meet. Sedangkan perkuliahan offline dilakukan sesuai pilihan kampus mahasiswa. Kelas Denpasar melakukan kuliah offline di Kampus Ratna (Jalan Ratna no 51 Denpasar) dan Kelas Bangli melakukan offline di Kampus Bangli, jalan Nusantara Kubu Bangli. "
Apakah ada kelas online atau offline?,"Prodi Informatika memiliki dua kampus yaitu di Denpasar dan di Bangli. Masing-masing kampus terdapat ruangan kuliah dan lab komputer. Di setiap kampus tersedia akses internet yang dapat digunakan oleh mahasiswa. Kampus Ratna Denpasar ada di Jalan Ratna Denpasar. Lokasinya strategis berada di pusat kota. Mahasiswa boleh memilih untuk kuliah di Denpasar atau Bangli. Apabila memilih untuk kuliah di Denpasar, maka mahasiswa tidak akan diminta untuk berkuliah di Kampus Bangli, demikian pula sebaliknya. Namun apabila ada kegiatan mahasiswa yang melibatkan seluruh mahassiswa Fakultas Dharma Duta, maka kegiatan tersebut biasanya diadakan di Kampus Bangli. Demikian pula kegiatan mahasiswa yang melibatkan seluruh mahasiswa UHN Sugriwa biasanya diadakan di kampus Bangli.
Kampus Bangli ada di Jalan Nusantara Kubu Bangli. Kampus ini sangat sejuk dengan lingkungan yang tenang dan damai. Lingkungan belajar yang mendukung tersebut akan bermanfaat untuk meningkatkan fokus mahasiswa. UHN Sugriwa telah memiliki kerjasama dengan Dinas Perhubungan untuk transportasi Bus Damri dari Kampus Ratna Denpasar. Sehingga apabila mahasiswa berkuliah di Denpasar namun ingin melakukan perjalanan ke kampus Bangli dapat menggunakan transportasi Bus Damri secara gratis.
Sistem perkuliahan biasanya dilakukan secara blended learning, yaitu 6 pertemuan dilakukan secara online dan 10 pertemuan dilakukan secara offline. Media online biasanya menggunakan Zoom atau Google Meet. Sedangkan perkuliahan offline dilakukan sesuai pilihan kampus mahasiswa. Kelas Denpasar melakukan kuliah offline di Kampus Ratna (Jalan Ratna no 51 Denpasar) dan Kelas Bangli melakukan offline di Kampus Bangli, jalan Nusantara Kubu Bangli. "
Apakah boleh memilih kampus?,"Prodi Informatika memiliki dua kampus yaitu di Denpasar dan di Bangli. Masing-masing kampus terdapat ruangan kuliah dan lab komputer. Di setiap kampus tersedia akses internet yang dapat digunakan oleh mahasiswa. Kampus Ratna Denpasar ada di Jalan Ratna Denpasar. Lokasinya strategis berada di pusat kota. Mahasiswa boleh memilih untuk kuliah di Denpasar atau Bangli. Apabila memilih untuk kuliah di Denpasar, maka mahasiswa tidak akan diminta untuk berkuliah di Kampus Bangli, demikian pula sebaliknya. Namun apabila ada kegiatan mahasiswa yang melibatkan seluruh mahassiswa Fakultas Dharma Duta, maka kegiatan tersebut biasanya diadakan di Kampus Bangli. Demikian pula kegiatan mahasiswa yang melibatkan seluruh mahasiswa UHN Sugriwa biasanya diadakan di kampus Bangli.
Kampus Bangli ada di Jalan Nusantara Kubu Bangli. Kampus ini sangat sejuk dengan lingkungan yang tenang dan damai. Lingkungan belajar yang mendukung tersebut akan bermanfaat untuk meningkatkan fokus mahasiswa. UHN Sugriwa telah memiliki kerjasama dengan Dinas Perhubungan untuk transportasi Bus Damri dari Kampus Ratna Denpasar. Sehingga apabila mahasiswa berkuliah di Denpasar namun ingin melakukan perjalanan ke kampus Bangli dapat menggunakan transportasi Bus Damri secara gratis.
Sistem perkuliahan biasanya dilakukan secara blended learning, yaitu 6 pertemuan dilakukan secara online dan 10 pertemuan dilakukan secara offline. Media online biasanya menggunakan Zoom atau Google Meet. Sedangkan perkuliahan offline dilakukan sesuai pilihan kampus mahasiswa. Kelas Denpasar melakukan kuliah offline di Kampus Ratna (Jalan Ratna no 51 Denpasar) dan Kelas Bangli melakukan offline di Kampus Bangli, jalan Nusantara Kubu Bangli. "
Apakah bisa memilih kuliah di Denpasar atau Bangli?,"Prodi Informatika memiliki dua kampus yaitu di Denpasar dan di Bangli. Masing-masing kampus terdapat ruangan kuliah dan lab komputer. Di setiap kampus tersedia akses internet yang dapat digunakan oleh mahasiswa. Kampus Ratna Denpasar ada di Jalan Ratna Denpasar. Lokasinya strategis berada di pusat kota. Mahasiswa boleh memilih untuk kuliah di Denpasar atau Bangli. Apabila memilih untuk kuliah di Denpasar, maka mahasiswa tidak akan diminta untuk berkuliah di Kampus Bangli, demikian pula sebaliknya. Namun apabila ada kegiatan mahasiswa yang melibatkan seluruh mahassiswa Fakultas Dharma Duta, maka kegiatan tersebut biasanya diadakan di Kampus Bangli. Demikian pula kegiatan mahasiswa yang melibatkan seluruh mahasiswa UHN Sugriwa biasanya diadakan di kampus Bangli.
Kampus Bangli ada di Jalan Nusantara Kubu Bangli. Kampus ini sangat sejuk dengan lingkungan yang tenang dan damai. Lingkungan belajar yang mendukung tersebut akan bermanfaat untuk meningkatkan fokus mahasiswa. UHN Sugriwa telah memiliki kerjasama dengan Dinas Perhubungan untuk transportasi Bus Damri dari Kampus Ratna Denpasar. Sehingga apabila mahasiswa berkuliah di Denpasar namun ingin melakukan perjalanan ke kampus Bangli dapat menggunakan transportasi Bus Damri secara gratis.
Sistem perkuliahan biasanya dilakukan secara blended learning, yaitu 6 pertemuan dilakukan secara online dan 10 pertemuan dilakukan secara offline. Media online biasanya menggunakan Zoom atau Google Meet. Sedangkan perkuliahan offline dilakukan sesuai pilihan kampus mahasiswa. Kelas Denpasar melakukan kuliah offline di Kampus Ratna (Jalan Ratna no 51 Denpasar) dan Kelas Bangli melakukan offline di Kampus Bangli, jalan Nusantara Kubu Bangli. "
Kenapa Prodi Informatika dibentuk?,"Prodi informatika Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar (selanjutnya disingkat UHN Sugriwa) memperoleh ijin operasional pada tanggal 15 Desember 2022. Mahasiswa angkatan pertama prodi ini sebanyak 49 orang. Prodi ini cukup populer di UHN Sugriwa. Pesatnya perkembangan Teknologi Informasi (TI) menuntut penguasaan terhadap teknologi menjadi demikian penting. Perkembangan TI yang sangat pesat ini membuka banyak peluang kerja pada banyak sektor, baik telekomunikasi, perbankan, industri, perdagangan, pemerintahan, pendidikan serta bidang-bidang lainnya. Tingginya kebutuhan di masyarakat terkait dengan bidang Teknologi Informasi ini menjadi pertimbangan Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar untuk mengajukan pembukaan Program Studi Informatika yang nantinya juga mempelajari berbagai ilmu yang terkait dengan Teknologi Informasi.
Visi Prodi Informatika adalah ""Menjadi prodi yang inovatif, unggul, dan adaptif dalam budaya pada pengembangan teknologi, perangkat lunak, dan sistem cerdas yang berkelanjutan tahun 2045."". 
Misi Prodi Informatikan adalah:
 A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya. 
Tujuan Prodi Informatika adalah 
A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya."
Apa sih visi dari Prodi Informatika?,"Prodi informatika Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar (selanjutnya disingkat UHN Sugriwa) memperoleh ijin operasional pada tanggal 15 Desember 2022. Mahasiswa angkatan pertama prodi ini sebanyak 49 orang. Prodi ini cukup populer di UHN Sugriwa. Pesatnya perkembangan Teknologi Informasi (TI) menuntut penguasaan terhadap teknologi menjadi demikian penting. Perkembangan TI yang sangat pesat ini membuka banyak peluang kerja pada banyak sektor, baik telekomunikasi, perbankan, industri, perdagangan, pemerintahan, pendidikan serta bidang-bidang lainnya. Tingginya kebutuhan di masyarakat terkait dengan bidang Teknologi Informasi ini menjadi pertimbangan Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar untuk mengajukan pembukaan Program Studi Informatika yang nantinya juga mempelajari berbagai ilmu yang terkait dengan Teknologi Informasi.
Visi Prodi Informatika adalah ""Menjadi prodi yang inovatif, unggul, dan adaptif dalam budaya pada pengembangan teknologi, perangkat lunak, dan sistem cerdas yang berkelanjutan tahun 2045."". 
Misi Prodi Informatikan adalah:
 A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya. 
Tujuan Prodi Informatika adalah 
A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya."
"Misi Prodi Informatika itu apa aja, ya?","Prodi informatika Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar (selanjutnya disingkat UHN Sugriwa) memperoleh ijin operasional pada tanggal 15 Desember 2022. Mahasiswa angkatan pertama prodi ini sebanyak 49 orang. Prodi ini cukup populer di UHN Sugriwa. Pesatnya perkembangan Teknologi Informasi (TI) menuntut penguasaan terhadap teknologi menjadi demikian penting. Perkembangan TI yang sangat pesat ini membuka banyak peluang kerja pada banyak sektor, baik telekomunikasi, perbankan, industri, perdagangan, pemerintahan, pendidikan serta bidang-bidang lainnya. Tingginya kebutuhan di masyarakat terkait dengan bidang Teknologi Informasi ini menjadi pertimbangan Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar untuk mengajukan pembukaan Program Studi Informatika yang nantinya juga mempelajari berbagai ilmu yang terkait dengan Teknologi Informasi.
Visi Prodi Informatika adalah ""Menjadi prodi yang inovatif, unggul, dan adaptif dalam budaya pada pengembangan teknologi, perangkat lunak, dan sistem cerdas yang berkelanjutan tahun 2045."". 
Misi Prodi Informatikan adalah:
 A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya. 
Tujuan Prodi Informatika adalah 
A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya."
Tujuan dari Prodi Informatika itu sebenarnya buat apa?,"Prodi informatika Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar (selanjutnya disingkat UHN Sugriwa) memperoleh ijin operasional pada tanggal 15 Desember 2022. Mahasiswa angkatan pertama prodi ini sebanyak 49 orang. Prodi ini cukup populer di UHN Sugriwa. Pesatnya perkembangan Teknologi Informasi (TI) menuntut penguasaan terhadap teknologi menjadi demikian penting. Perkembangan TI yang sangat pesat ini membuka banyak peluang kerja pada banyak sektor, baik telekomunikasi, perbankan, industri, perdagangan, pemerintahan, pendidikan serta bidang-bidang lainnya. Tingginya kebutuhan di masyarakat terkait dengan bidang Teknologi Informasi ini menjadi pertimbangan Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar untuk mengajukan pembukaan Program Studi Informatika yang nantinya juga mempelajari berbagai ilmu yang terkait dengan Teknologi Informasi.
Visi Prodi Informatika adalah ""Menjadi prodi yang inovatif, unggul, dan adaptif dalam budaya pada pengembangan teknologi, perangkat lunak, dan sistem cerdas yang berkelanjutan tahun 2045."". 
Misi Prodi Informatikan adalah:
 A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya. 
Tujuan Prodi Informatika adalah 
A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya."
