Query,Questions,Ground truth,Unnamed: 3,LLM+RAG+Name
1,Informatika itu apa?,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat. ",Profil,"Selamat datang di Program Studi Informatika Universitas Harapan Negeri I Gusti Bagus Sugriwa! Senang sekali Anda bertanya tentang informatika.

Jawabannya sederhana saja: Informatika adalah ilmu yang mempelajari cara kita mengolah, menyimpan, dan mendistribusikan informasi menggunakan komputer. Bayangkan seperti ini – dari membuat aplikasi yang sering kamu gunakan sehari-hari hingga sistem pintar yang bisa membantu kita dalam kehidupan sehari-hari.

Di UHN Sugriwa, kami tidak hanya belajar dasar-dasarnya, tapi juga bagaimana menerapkan teknologi untuk solusi nyata. Misalnya, kami fokus pada pengembangan program komputer (perangkat lunak), pembuatan sistem cerdas atau *artificial intelligence* (AI) yang semakin populer, dan tentu saja, bagaimana teknologi bisa disesuaikan dengan kebutuhan dan budaya kita sendiri. Kami percaya bahwa teknologi harus bermanfaat bagi masyarakat Indonesia!

Apakah ada hal spesifik yang ingin Anda ketahui lebih lanjut tentang mata kuliah"
2,Nanti anak saya kalau mau kuliah informatika belajar apa saja?,"Berkuliah di Informatika akan belajar mengenai pengembangan perangkat lunak, bahasa pemrograman seperti PHP, HMTL, CSS, Javascript, Java, maupun Python. Belajar pengembangan web, pengembangan sistem cerdas, sistem informasi, serta jaringan komputer. Masih banyak hal lain juga yang dipelajari di Informatika UHN I Gusti Bagus Sugriwa Denpasar yang berguna untuk mengembangkan teknologi, dan membantu masyarakat",Belajar apa?,"Selamat datang di Program Studi Informatika Universitas Hindu Indonesia (UHN) I Gusti Bagus Sugriwa! Senang sekali mendengar Anda tertarik dengan program studi ini untuk anak Anda.

Untuk memberikan gambaran yang lebih lengkap mengenai mata kuliah yang akan dihadapi mahasiswa Informatika di UHN, berikut beberapa mata kuliah inti yang biasanya wajib diambil:

**Tahun Pertama:**
- **Dasar-dasar Pemrograman:** Pengenalan bahasa pemrograman seperti Python atau Java.
- **Matematika Diskrit & Aljabar Linear:** Fondasi penting untuk analisis data dan algoritma.
- **Struktur Data & Algoritma:** Belajar cara menyimpan dan memproses data secara efisien.
- **Basis Data:** Memahami cara penyimpanan dan manajemen data menggunakan database.

**Tahun Kedua:**
- **Jaringan Komputer:** Prinsip dasar komunikasi antar komputer dan internet.
- **Sistem Operasi:** Cara kerja sistem operasi seperti Windows, Linux, atau macOS.
- **Pemrograman Web:**"
3,Peluang kerja ketika lulusan informatika ,"Setelah lulus, Setelah lulus dari Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar, bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti, atau instruktur IT. Bisa bekerja pada berbagai bidang usaha, baik kesehatan, pemerintahan, pendidikan, Bank, e-commerce, pariwisata, atau software house, dan lain sebagainya.",Bidang Kerja,"Halo! Senang sekali Anda tertarik dengan peluang karir setelah menyelesaikan studi Informatika di UHN I Gusti Bagus Sugriwa. Deskripsi yang Anda berikan sudah cukup komprehensif, tetapi mari kita bahas lebih mendalam agar lebih relevan dengan konteks Indonesia, terutama Bali.

**Peluang Karir Utama bagi Lulusan Informatika:**

1. **Teknologi Digital & Startup:**
  - **AI Engineer:** Permintaan tinggi di bidang ini, terutama di Jakarta dan Surabaya, namun juga berkembang di Denpasar. Fokusnya bisa pada solusi lokal seperti deteksi dini bencana alam atau optimasi pariwisata.
  - **Software Engineer/Web Developer:** Banyak startup di Bali fokus pada platform pemesanan wisata atau aplikasi edukasi budaya. Keahlian dalam *full-stack development* sangat dicari.
  - **Data Scientist:** Analisis data wisatawan dan tren pasar lokal menjadi peluang menarik.

2. **Pariwisata & Ekonomi Kreatif Bali:**
  - **Sistem"
4,Apa saja peluang pekerjaannya?,"Setelah lulus, Setelah lulus dari Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar, bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti, atau instruktur IT. Bisa bekerja pada berbagai bidang usaha, baik kesehatan, pemerintahan, pendidikan, Bank, e-commerce, pariwisata, atau software house, dan lain sebagainya.",Bidang Kerja,"Selamat datang di Program Studi Informatika Universitas Hindu Indonesia (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda tertarik dengan informasi mengenai peluang karir setelah lulus.

Berdasarkan deskripsi yang diberikan, lulusan dari program kita memiliki potensi besar untuk berkembang dalam berbagai bidang. Berikut adalah beberapa jalur karir yang umumnya tersedia:

1. **Teknisi Kecerdasan Buatan (AI)**: Membuat dan mengembangkan sistem cerdas menggunakan algoritma dan data.
2. **Insinyur Perangkat Lunak**: Merancang dan membangun aplikasi atau sistem komputer.
3. **Instruktur Teknologi Informasi dan Komunikasi (TIK)**: Mengajar dan membimbing mahasiswa di bidang TI, baik di universitas maupun institusi lain.
4. **Peneliti**: Melakukan penelitian mendalam di bidang ilmu komputer dan informatika.

Peluang kerja ini tersebar di berbagai sektor:
- **Perusahaan Teknologi dan Startup Digital**
- **Bank dan Lembaga Keu"
5,Skil apa yang harus dimiliki jika mau jadi fron end ,"Untuk menjadi Front-End Developer, perlu menguasai HTML, CSS, dan JavaScript sebagai dasar pembuatan antarmuka web. Selain itu, penting memahami desain responsif, penggunaan framework seperti React, pengelolaan versi dengan Git, serta kemampuan problem solving dan komunikasi dalam tim pengembangan.",Umum,"Halo! Senang sekali Anda tertarik dengan Program Studi Informatika di UHN I Gusti Bagus Sugriwa. Pertanyaan Anda sangat tepat – menjadi *front-end developer* membutuhkan beberapa keterampilan penting. Berikut ini adalah daftar yang bisa Anda persiapkan:

**1. Dasar-dasar Pengembangan Web:**
  - **HTML5**: Untuk struktur dan konten halaman web.
  - **CSS3**: Untuk tata letak visual dan desain antarmuka.
  - **JavaScript**: Bahasa pemrograman utama untuk interaktivitas.

**2. Framework Front-End Populer:**
  - **React.js**: Sangat diminati di industri karena fleksibilitasnya.
  - **Vue.js**: Lebih mudah dipelajari dan cocok untuk proyek menengah.
  - **Angular**: Pilihan bagus jika Anda ingin fokus pada aplikasi besar.

**3. Alat Bantu Pengembangan:**
  - **Git & GitHub/GitLab**: Untuk mengatur kode dan berkolaborasi tim.
  - **Node.js**: Untuk menjalankan JavaScript di"
6,Html itu kayak gimana ya  ?,"Bentuk HTML terdiri atas elemen-elemen yang ditulis menggunakan tag pembuka dan tag penutup. Struktur dasarnya mencakup <html>, <head>, dan <body>. Di dalamnya terdapat berbagai tag seperti heading, paragraf, gambar, tabel, dan tautan. Elemen-elemen tersebut membentuk kerangka halaman web sehingga konten dapat ditampilkan secara terstruktur dan mudah dipahami pengguna.",Umum,"Halo! Selamat datang di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Senang sekali bisa membantu menjawab pertanyaan Anda.

HTML (HyperText Markup Language) adalah bahasa pemrograman dasar yang digunakan untuk membuat struktur dan tampilan halaman web. Bayangkan HTML sebagai kerangka atau tulang punggung dari sebuah situs web – ia menentukan bagaimana konten disusun dan ditampilkan di browser. 

Dalam mata kuliah ini, Anda akan belajar menggunakan HTML untuk:

1. **Struktur Halaman Web**: Membuat elemen-elemen seperti judul, paragraf, gambar, tautan, daftar, dan lainnya.
2. **Tata Letak Konten**: Mengatur posisi dan penataan elemen-elemen tersebut agar terlihat rapi dan menarik.
3. **Interaksi Dasar**: Meskipun HTML sendiri tidak membuat interaktif, ia bekerja bersama dengan CSS dan JavaScript untuk menciptakan antarmuka pengguna yang lebih dinamis.

Sebagai contoh sederhana, kode HTML untuk membuat judul dan paragra"
7,Berarti bisa dari rumah nanti bekerjanya?,"Bisa bekerja dari rumah, untuk kerja praktek atau magang tergantung perusahaan tempat magang nanti.",magang/ kerja praktek,"Halo! Selamat datang di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Senang sekali Anda tertarik dengan prospek karir setelah lulus.

Ya, benar sekali. Banyak peluang kerja yang tersedia untuk lulusan informatika kita, termasuk yang bisa dilakukan secara *remote* atau jarak jauh dari rumah. Di era digital seperti sekarang ini, banyak perusahaan, terutama di bidang teknologi, startup, dan layanan digital, memungkinkan pekerjaan dilakukan secara fleksibel.

Sebagai contoh:

*  **Software Engineer** seringkali bisa bekerja dari rumah, terutama jika mereka mengembangkan aplikasi atau sistem.
*  **Instruktur TIK** juga bisa memberikan les online atau membuat materi pembelajaran daring.
*  **Asisten Peneliti** dalam bidang ilmu komputer mungkin melakukan analisis data atau penulisan artikel dari rumah.
*  Bahkan, beberapa posisi di bidang konsultasi IT atau desain grafis pun bisa dilakukan secara remote.

Namun, penting untuk diingat"
8,Judul skripsi apa yang cocok ya,Judul skripsi bisa berkaitan dengan kecerdasan buatan muaupun pengembangan aplikasi.,Skripsi,"Halo! Senang bisa membantu Anda mencari ide judul skripsi untuk Program Studi Informatika di UHN I Gusti Bagus Sugriwa. Berdasarkan contoh-contoh yang Anda berikan, tampaknya Anda tertarik dengan penelitian yang bersifat analitis atau eksploratif, dengan fokus pada penerapan teknologi dalam konteks nyata.

Berikut beberapa saran judul skripsi yang mungkin relevan:

1. **""Analisis Efektivitas Metode Pembelajaran Kolaboratif Berbasis Platform Online Terhadap Keterlibatan Mahasiswa dalam Mata Kuliah Jaringan Komputer""** (Jenis: Analitik/Eksplanatoris) - Menyelidiki bagaimana platform kolaborasi online dapat meningkatkan partisipasi mahasiswa dalam mata kuliah jaringan komputer.

2. **""Pengembangan Sistem Deteksi Penipuan Transaksi E-commerce Berbasis Machine Learning untuk UMKM di Bali""** (Jenis: Deskriptif) - Menganalisis tantangan dan strategi implementasi sistem deteksi penipuan e-commerce menggunakan AI untuk UMKM lokal.

3"
9,Mungkin seperti ai itu apa yang cocok untuk judul nya,"Judul yang berkaitan dengan AI dapat seperti membangun chatbot, menganalisis kualitas AI, membuat aplikasi yang dipadukan dengan LLM seperti sistem rekomendasi perjalananan, membuat aplikasi untuk bidang kesehatan yang mampu mendeteksi penyakit dari gambar, suara, atau video.",Skripsi,"Halo! Senang bertemu dengan Anda di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Wah, menarik sekali mendengar perkembangan program ini! Berdasarkan informasi yang Anda sampaikan, ada beberapa ide judul yang mungkin sesuai untuk kebutuhan Anda:

1. **""Transformasi Digital di UHN IGS: Analisis Pertumbuhan dan Potensi Pengembangan Prodi Informatika""** – Judul ini bisa membahas bagaimana program informatika baru ini berkontribusi pada transformasi digital di Bali dan Indonesia.
2. **""Pengalaman Awal: Dinamika Pembelajaran dan Tantangan di Program Studi Informatika UHN IGS""** – Cocok jika Anda ingin fokus pada pengalaman mahasiswa angkatan pertama.
3. **""Strategi Peningkatan Kapasitas: Menuju Target 80 Mahasiswa di Prodi Informatika UHN IGS""** – Judul ini akan menyoroti strategi untuk mencapai target penerimaan mahasiswa.

Atau, mungkin Anda tertarik dengan topik yang lebih spesifik? Misal"
10,Apa yang harus dipelajari terlebih dahulu jika belum punya pengalaman ngoding?,"Pelajaran pemrograman dimulai dari yang paling dasar yaitu logika pemrograman, tipe data, variabel, perulangan, statement logika, dan lain sebagainya.",coding,"Halo! Selamat datang di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Senang sekali Anda tertarik untuk memulai perjalanan belajar pemrograman.

Jika Anda baru memulai, ada beberapa hal penting yang sebaiknya dipelajari terlebih dahulu agar lebih mudah mengikuti perkuliahan:

1. **Dasar-dasar Pemrograman:** Mulailah dengan memahami konsep dasar seperti variabel, tipe data, struktur kontrol (if-else, loop), fungsi, dan array. Ini akan menjadi fondasi utama dalam semua bahasa pemrograman.
2. **Pilih Bahasa Pemrograman yang Tepat:** Untuk program studi Informatika, Python sering direkomendasikan karena sintaksisnya yang mudah dibaca dan banyak digunakan dalam berbagai bidang. Namun, Java juga merupakan pilihan yang baik, terutama jika Anda tertarik pada pengembangan aplikasi Android.
3. **Alat Pengembangan Perangkat Lunak (IDE):** Pelajari cara menggunakan IDE seperti Visual Studio Code atau PyCharm. Alat"
